Las siguientes graficas son coespectrales fuertes.
With 9 vertices: 

[6] H??ED@[ H??ED_M
[6] H??ED@{ H?BD?oF
[6] H??EDB{ H??FE_N
[6] H??ED@} H??EDam
[6] H??E@ak H?AB?qB
[6] H??E@b{ H??EFbK
[6] H??E@bm H??EDE]
[6] H??E@an H??FCqF
[6] H??E@b~ H??EFfM
[6] H??EDbK H??E@ou
[6] H??ED`l H?ABAr`
[6] H??EDa} H??E@vd
[6] H??EDa| H??EDD^
[6] H??EDan H??E@uf
[6] H??ED_~ H??FEbM
[6] H??EDb} H?AEEJ{
[6] H??E@rc H?ABBBW
[6] H??E@rs H?B@eRA
[6] H??E@re H??EDD]
[6] H??E@r{ H?AEBpw
[6] H??E@rv H??E@yz H?B@`gz
[6] H??E@f} H?AFFAZ
[6] H??EDqs H??FEbK H?AA@rw
[6] H??EDpu H?BDAp[
[6] H??EDr{ H?`Ddbo
[6] H??EDp| H?BDDIx
[6] H??E@yw H?ABCqY
[6] H??E@zr H?BE@re
[6] H??EDc~ H??FEfM
[6] H??E@v~ H?ABbbz
[6] H??EFf| H?BEFbN
[6] H??EDv| H?AFFB^
[6] H??E@~q H?B@pof
[4] H??EFz{ H??Ffb{
[6] H??ED~y H??FFru
[4] H??FFB[ H??FCy[
[6] H??FEbk H?ABErW
[6] H??FCpU H?BE@ak
[6] H??FCp{ H?B@dRo
[6] H??FCp] H?B@dOt
[6] H??FCr{ H??FeZg
[6] H??FCr~ H??FeZj
[6] H??FErt H??FfQV
[6] H??FCxy H?ABCp}
[6] H??FCx] H?BDAp]
[6] H??FCzX H?AEEJy
[6] H??FCtu H?B@`il
[6] H??FEu| H?BDdUm
[6] H??FeZi H?B@pqy
[4] H??FeZr H?B@po~
[6] H??FeZ} H?BFNJw
[6] H??Fe]~ H?AFCv~
[8] H?AAD@w H?AE@aH
[8] H?AA@bw H?AAFBW
[6] H?AA@b} H?AELGZ
[7] H?AAF?] H?`@`b_
[8] H?AAF?| H?AEBBX
[7] H?AAFB] H?`@`bq
[8] H?AAD`w H?AEB@w
[8] H?AADbw H?ABCeY
[7] H?AAD`z H?AADrb
[8] H?AADb| H?AEFbJ
[6] H?AAEHy H?AEEC{
[8] H?AADHx H?ABCiM
[8] H?AADJz H?ABCjl
[8] H?AAFaM H?B@eQE
[7] H?AAFbM H?BD?q]
[7] H?AAF_} H?`@eFo
[8] H?AAFaN H?ABEDx
[7] H?AAFbN H?ABbRb
[8] H?AAFan H?ABEfh
[8] H?AAFa~ H?AEFaz
[8] H?AADrc H?AE@a{ H?ABEFW
[8] H?AADps H?AEBJW
[6] H?AADp| H?ABFBZ
[7] H?AAFru H?`@fbq
[8] H?AE@aw H?ABCqQ
[8] H?AE@bw H?AEB`w
[8] H?AE@ax H?ABCeL
[8] H?AE@`x H?AEBbI
[8] H?AE@aj H?AEB`h
[8] H?AE@a| H?AELbI
