Las siguientes graficas son coespectrales fuertes.
With 8 vertices: 
[6] GCXev[ GCY^U[
[7] GCZbeg GCZVEo
[7] GCZev{ GCZL~s
[6] GCZenW GCZVUs
[6] GCZemk GCZUmw
[6] GCZens GCZmp{
[6] GCZVFw GCZLms
[6] GCZTeo GCZJeg
[6] GCZTcw GCZTeK
[6] GCZJew GCZJbs
[6] GCZLv[ GCZMl{
[6] GCZJuw GCZLmw
[6] GCZNMk GCZMmw
[6] GCZNnk GCf^fs
[6] GCXmeW GCXmbS
[4] GCXnRs GCXnVK
[6] GCZj}{ GEit^{
[6] GCzbvg GEjfbw
[6] GCzfvk GCxvf{
[4] GCznvk GCx~f{
[6] GCz^ek GCvbvs
[6] GCx~e{ GEiv^w
[6] GCvbtw GEhfuw
[6] GCvbv[ GEhtns
[6] GCvbm{ GEit^w
[7] GCvdz{ GEhrv{
[6] GErtrw GEh~fK
[6] GEhbvk GEirts
[6] GEjer{ GEh}rs
[6] GEhru{ GEh}uw
[6] GEjuv[ GEh~d{
[6] GEj\q{ GQjdm{
[6] GEj^r{ GEh~f{



Con algebraic-corank 0: 0
Con algebraic-corank 1: 0
Con algebraic-corank 2: 0
Con algebraic-corank 3: 0
Con algebraic-corank 4: 4
Con algebraic-corank 5: 6
Con algebraic-corank 6: 354
Con algebraic-corank 7: 100
Total: 464
